id,name,type,foursquareId,lat,lon
12803263,Zoëyogurt,foursquare,4d79a6fb0ceba1cd777ab558,47.67886749683185,-122.326078322516
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
16566909,,unknown,,47.67513,-122.32158
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
18505034,Whole Foods Market,foursquare,439ac4b9f964a520d52b1fe3,47.67498907406865,-122.3166382312775
6552482,Home,home,,47.67645,-122.32305
8291698,School,school,,47.67656,-122.32843
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
16566909,,unknown,,47.67513,-122.32158
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
27771697,,unknown,,47.60416,-122.33169
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
6552482,Home,home,,47.67645,-122.32305
28053721,,unknown,,47.66098,-122.31967
28053722,,unknown,,47.68039,-122.32555
28053723,,unknown,,47.6665,-122.33296
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
12803263,Zoëyogurt,foursquare,4d79a6fb0ceba1cd777ab558,47.67886749683185,-122.326078322516
28781750,,unknown,,47.68054,-122.32709
6552482,Home,home,,47.67645,-122.32305
28781751,,unknown,,47.66036,-122.31309
7256266,Fred Meyer,foursquare,4a88913ef964a520f00620e3,47.72331595342612,-122.2919945355234
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
28053723,,unknown,,47.6665,-122.33296
29161152,Edmonds Family Fun Center,foursquare,4a2a23b5f964a52008961fe3,47.79906009157531,-122.3305570421877
29301896,,unknown,,47.6718,-122.31732
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
28053721,,unknown,,47.66098,-122.31967
8776300,Green Lake Elementary,foursquare,4afb71c2f964a5200e1e22e3,47.67600488191037,-122.3287058982456
6552482,Home,home,,47.67645,-122.32305
20364064,Green Lake United Methodist Church,foursquare,4c1e5080eac020a15d7c49c2,47.67566265282078,-122.3282539661625
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
30380976,Road Runner Sports,foursquare,4b11bd0ff964a520808323e3,47.67960507247383,-122.3243522644043
20364064,Green Lake United Methodist Church,foursquare,4c1e5080eac020a15d7c49c2,47.67566265282078,-122.3282539661625
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291698,School,school,,47.67656,-122.32843
30689897,,unknown,,47.60083,-122.32792
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
30986874,,unknown,,47.70954,-122.31942
30986875,,unknown,,47.70916,-122.31691
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
31279751,,unknown,,47.60024,-122.33418
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
6552482,Home,home,,47.67645,-122.32305
31483614,Ridge Pizza,foursquare,4ed666af6c25b696b4c99e4f,47.68130843025233,-122.355513781782
31483615,,unknown,,47.68908,-122.35151
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
40242797,,unknown,,47.70562,-122.29176
40242799,,unknown,,47.65818,-122.30879
6552482,Home,home,,47.67645,-122.32305
40242800,,unknown,,47.65978,-122.34208
6552482,Home,home,,47.67645,-122.32305
18505034,Whole Foods Market,foursquare,439ac4b9f964a520d52b1fe3,47.67498907406865,-122.3166382312775
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8776300,Green Lake Elementary,foursquare,4afb71c2f964a5200e1e22e3,47.67600488191037,-122.3287058982456
30689897,,unknown,,47.60083,-122.32792
40825413,,unknown,,47.59819,-122.32746
