activity,group,duration,distance,steps,calories,record_id,summary_id
walking,walking,2932,2575,3861,129,162,355
cycling,cycling,2251,10903,,242,162,356
transport,transport,1435,8822,,,162,357
walking,walking,6049,5034,7623,252,163,358
transport,transport,7728,129868,,,163,359
cycling,cycling,120,133,,4,163,360
walking,walking,4546,5443,7117,273,164,361
running,running,480,1299,1248,79,164,362
transport,transport,3078,18886,,,164,363
walking,walking,2171,2291,3231,114,165,364
transport,transport,1394,8242,,,165,365
cycling,cycling,2375,10611,,237,165,366
walking,walking,3257,3298,4836,165,166,367
walking,walking,3861,4592,6135,229,167,368
transport,transport,7385,66303,,,167,369
cycling,cycling,2714,13028,,289,167,370
walking,walking,2333,2636,3889,132,168,371
transport,transport,3918,24437,,,168,372
walking,walking,4362,4254,6206,213,169,373
transport,transport,8069,125846,,,169,374
cycling,cycling,1449,8907,,195,169,375
walking,walking,4712,4406,5934,220,170,376
transport,transport,2605,32776,,,170,377
walking,walking,402,226,366,12,171,378
transport,transport,4621,68896,,,171,379
walking,walking,3562,3227,5138,161,172,380
transport,transport,2274,17831,,,172,381
walking,walking,2741,2717,4032,136,173,382
cycling,cycling,2304,11770,,260,173,383
transport,transport,1665,9133,,,173,384
walking,walking,2452,2578,3331,129,174,385
transport,transport,5075,38987,,,174,386
walking,walking,1953,2017,3271,101,175,387
cycling,cycling,2528,8449,,194,175,388
transport,transport,1649,8752,,,175,389
walking,walking,3632,3261,5848,163,176,390
transport,transport,2503,18573,,,176,391
walking,walking,4123,5500,6983,275,177,392
transport,transport,1959,11035,,,177,393
transport,transport,3836,28890,,,178,394
walking,walking,2392,2232,3274,112,178,395
cycling,cycling,4708,23760,,526,178,396
walking,walking,723,520,894,27,179,397
transport,transport,572,4822,,,179,398
walking,walking,1183,1079,1531,54,180,399
cycling,cycling,2145,6905,,159,180,400
transport,transport,1921,9823,,,180,401
walking,walking,920,946,1343,47,181,402
transport,transport,3628,37973,,,181,403
walking,walking,1578,1181,1724,59,182,404
cycling,cycling,2290,7361,,170,182,405
transport,transport,1967,10081,,,182,406
walking,walking,962,980,1375,49,183,407
cycling,cycling,2430,10778,,241,183,408
transport,transport,724,7221,,,183,409
walking,walking,90,55,111,3,184,410
walking,walking,3727,3332,4922,166,185,411
transport,transport,6689,80903,,,185,412
walking,walking,3862,6128,7250,306,186,413
running,running,150,400,389,24,186,414
transport,transport,665,4983,,,186,415
walking,walking,2469,2400,3420,120,187,416
transport,transport,1418,10355,,,187,417
walking,walking,2683,2829,3990,143,188,418
transport,transport,2261,18638,,,188,419
walking,walking,1302,1139,1815,57,189,420
transport,transport,4147,29708,,,189,421
walking,walking,3092,3128,4333,156,190,422
cycling,cycling,2140,10666,,236,190,423
transport,transport,2101,10580,,,190,424
walking,walking,2542,2330,3464,118,191,425
transport,transport,2915,15474,,,191,426
walking,walking,2632,2152,3190,108,192,427
transport,transport,1818,13787,,,192,428
walking,walking,1883,2099,2877,105,193,429
cycling,cycling,2103,10926,,241,193,430
transport,transport,1750,9991,,,193,431
walking,walking,961,855,1323,43,194,432
cycling,cycling,2086,10716,,237,194,433
transport,transport,1675,10002,,,194,434
walking,walking,1538,1508,2247,75,195,435
cycling,cycling,2112,10703,,237,195,436
transport,transport,5132,36239,,,195,437
walking,walking,2322,1945,3072,97,196,438
transport,transport,3857,25786,,,196,439
walking,walking,5001,6927,8394,346,197,440
transport,transport,3076,20484,,,197,441
running,running,361,869,888,53,197,442
walking,walking,4600,7452,8269,372,198,443
transport,transport,3172,16143,,,198,444
cycling,cycling,873,4466,,99,198,445
walking,walking,1274,1125,1763,56,199,446
